,电影名,评分,上映日期,导演,主演,片长,网址
164,爆裂鼓手 Whiplash,8.7,2014-01-16(圣丹斯电影节),达米恩·查泽雷,迈尔斯·特勒,107分钟,https://movie.douban.com/subject/25773932/
165,记忆碎片 Memento,8.6,2000-09-05(威尼斯电影节),克里斯托弗·诺兰,盖·皮尔斯,113分钟,https://movie.douban.com/subject/1304447/
166,贫民窟的百万富翁 Slumdog Millionaire,8.6,2009-03-26(中国大陆),丹尼·博伊尔,戴夫·帕特尔,120 分钟,https://movie.douban.com/subject/2209573/
167,釜山行 부산행,8.5,2016-05-13(戛纳电影节),延尚昊,孔侑,118分钟,https://movie.douban.com/subject/25986180/
168,黑天鹅 Black Swan,8.6,2010-09-01(威尼斯电影节),达伦·阿伦诺夫斯基,娜塔莉·波特曼,108分钟,https://movie.douban.com/subject/1978709/
169,花样年华 花樣年華,8.6,2000-09-29(中国香港),王家卫,梁朝伟,98 分钟,https://movie.douban.com/subject/1291557/
170,你的名字。 君の名は。,8.4,2016-12-02(中国大陆),新海诚,神木隆之介,106分钟,https://movie.douban.com/subject/26683290/
171,卢旺达饭店 Hotel Rwanda,8.9,2004-09-11(多伦多电影节),特瑞·乔治,唐·钱德尔,121分钟,https://movie.douban.com/subject/1291822/
172,忠犬八公物语 ハチ公物語,9.2,1987-08-01(日本),神山征二郎,山本圭,107 分钟,https://movie.douban.com/subject/1959195/
173,头脑特工队 Inside Out,8.7,2015-10-06(中国大陆),彼特·道格特,艾米·波勒,95分钟,https://movie.douban.com/subject/10533913/
174,模仿游戏 The Imitation Game,8.7,2015-07-21(中国大陆),莫滕·泰杜姆,本尼迪克特·康伯巴奇,114分钟,https://movie.douban.com/subject/10463953/
175,黑客帝国3：矩阵革命 The Matrix Revolutions,8.7,2003-11-05(美国/中国大陆),莉莉·沃卓斯基,基努·里维斯,129 分钟,https://movie.douban.com/subject/1302467/
176,一个叫欧维的男人决定去死 En man som heter Ove,8.8,2015-12-25(瑞典),汉内斯·赫尔姆,罗夫·拉斯加德,116分钟,https://movie.douban.com/subject/26628357/
177,雨人 Rain Man,8.7,1988-12-16(美国),巴瑞·莱文森,达斯汀·霍夫曼,133分钟,https://movie.douban.com/subject/1291870/
178,你看起来好像很好吃 おまえうまそうだな,8.9,2010-10-16(日本),藤森雅也,山口胜平,90分钟,https://movie.douban.com/subject/4848115/
179,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,8.6,2004-09-10(中国大陆),阿方索·卡隆,丹尼尔·雷德克里夫,141 分钟,https://movie.douban.com/subject/1291544/
